"Title","Journal","Publication_year","Publication_year.2","statistical.analysis.and.or.simulations","bioinformatic.analysis","additional.comment.on.analysis","analysis_software_names","num.software.calculated","num.software_with_version","num.packages","num.packages_with_version","CodeShared","CodeShared.2","LinktoCode","LocationShared","Repository","FreeSoftware","FreeSoftware.2","DataUsed","DataShared","DataShared.2","ExtraComments","CommentonComments","Screener"
"A practical method for creating a digital topographic surface for ecological plots using ground-based measurements","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","Pearson correlation coefficient","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","also conducted Digital Topographic Model. R code and data for this are available.","NA","AC, AB"
"A tale of two wildfires; testing detection and prediction of invasive species distributions using models fit with topographic and spectral indices","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","species distribution modells (include included generalized linear model (GLM), boostedregression trees (BRT), multivariate adaptive regression splines (MARS), and Random Forest (RF), senisitivy analysis","VisTrails’ Software For Assisted Habitat Modeling",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Not sure if this data file also conatins info on analysis runs. Data available from the ScienceBase Repository: https://doi.org/10.5066/p9w0vf4f (Jarnevich and West 2018).","NA","AC, AB"
"Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","GLMs","SPSS",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Adult social environment alters female reproductive investment in the cricket Gryllus firmus","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","path analysis, χ2 test","SPSS Amos",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","Analyses reported in this article can be reproduced using the data provided by Conroy and Roff (2017).","NA","AC, AB"
"Age-dependent effects of predation risk on night-time hypothermia in two wintering passerine species","OECOLOGIA",2019,"2018-2019","yes","no","linear model, Tukey HSD","R",1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data available from the Dryad Digital Repository: 10.5061/dryad.7pm1470","NA","AC, AB"
"Alternative reproductive tactics and lifetime reproductive success in a polygynandrous mammal","BEHAVIORAL ECOLOGY",2019,"2018-2019","yes","yes","GLMs, the Clopper–Pearson method for calculatin CIs, Welch 2-sample t-test,  Mann–Whitney U test","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data accessibility: Analyses reported in this article can be reproduced using the data provided by Balmer et al. (2018).","NA","AC, AB"
"Altitudinal patterns of maximum plant height on the Tibetan Plateau","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","linear regression, piecewise linear regression, phyologenetically indepenedent contrasts","R",1,"0","3","1","no","no","NA","NA","NA","yes","yes","yes","no","no","Also used software Phylocom for Phylogenetic anlaysis","NA","AC, AB"
"Amino acid composition reveals functional diversity of zooplankton in tropical lakes related to geography, taxonomy and productivity","OECOLOGIA",2018,"2018-2019","yes","no","PCA, linear discrimination analysis, functional diversity calculation","R",1,"0","1","1","no","no","NA","NA","NA","yes","yes","yes","no","no","Calculation of functinal diversity considered as type of stat analysis here","NA","AC, AB"
"Among-individual heterogeneity in maternal behaviour and physiology affects reproductive allocation and offspring life-history traits in the garter snake Thamnophis elegans","OIKOS",2018,"2018-2019","yes","no","logistic regression, likelihood ratio test, PCA, oredinary least-squares regression, Kendalls W, mixed effects models, Kenward-Roger Degrees of Freedom Approximation","R and SAS",2,"1","2","0","no","no","NA","NA","NA","partially","yes","yes","no","no","R version not provided, SAS version provided. Have also done biochemical analysis, behaviour scored using JWatcher","NA","AC, AB"
"An objective road risk assessment method for multiple species: ranking 166 reptiles and amphibians in California","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","risk analysis","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","some data tables are in supplements. Even though it is borderline, we consider it as statistical.analysis.or/and.simulations = yes, with the addition that the authors seemingly performed at least some correlations, e.g. ""The scores are linearly correlated with increasing movement distance."" and they perform averages, use 95% quantiles to make decisions...","NA","AC, AST, AB"
"Anthropogenic disturbances strengthened tree community-environment relationships at the temperate-boreal interface","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","Sørensen dissimilarity, permutation-basedtest of multivariate homogeneity, redundancy analysis, third-degree polynomial Equation, distance-based Moran’s eigenvector analysis, Forward selection with permutation tests, bootstrapping, PCA, Monte-Carlo paired tests","R",1,"0","2","2","no","no","NA","NA","NA","yes","yes","yes","no","no","also calulated beta diversity indeces.","NA","AC, AB"
"Arena size modulates functional responses via behavioral mechanisms","BEHAVIORAL ECOLOGY",2019,"2018-2019","yes","no","ANCOVAS, mathematical modelling of functional responses","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","Data accessibility: Analyses reported in this article can be reproduced using the data provided by Uiterwaal et al. (2018). analyzed each video using the automated tracking program Ctrax. Unclear: From these tracking data, we then used Matlab to determine in every frame the shortest distance between each individual’s location and the arena edge and created frequency distributions of distance to edge for each arena size.","NA","AC, AB"
"Assessing the interplay between canopy energy balance and photosynthesis with cellulose delta O-18: large-scale patterns and independent ground-truthing","OECOLOGIA",2018,"2018-2019","yes","no","sensitivity analysis, mathematical modelling","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","Some data in excel suppl file - but it is unclear what these data represent as they are not mentioned in the text. Isotope anlaysis. spectormetry","NA","AC, AB"
"Bet hedging in stochastic habitats: an approach through large branchiopods in a temporary wetland","OECOLOGIA",2018,"2018-2019","yes","no","linear regression, Mann–Whitney U test, simulations","SYSTAT",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","The datasets analyzed during the current study are available in the Google Drive (http://drive.google.com/open?id=1fi-4Clu46M4o-J7jqYlaJdWZQRJF9a-D). The climatic datasets analyzed during current study (i.e., precipitation and mean air temperature) are not publicly available due to the charge (only precipitation data available freely for the most recent ten years: http://www.cwb.gov.tw/V7/climate/dailyPrecipitation/dP.htm, Central Weather Bureau, Taiwan), but are available from the corresponding author on reasonable request.","NA","AC, AB"
"Bleaching and mortality of a photosymbiotic bioeroding sponge under future carbon dioxide emission scenarios","OECOLOGIA",2018,"2018-2019","yes","no","ANOVA, Tukey’s multiple comparison tests","Statistica",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","limited raw data avaiable www.pmel.noaa.gov/co2/","NA","AC, AB"
"Broussonetia papyrifera controls nutrient return to soil to facilitate its invasion in a tropical forest of Ghana","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","ANOVA, Mauchly tests, Mauchly tests, Pearson’s product-moment correlation analysis","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Calling in the heat: the zebra finch incubation call depends on heat but not reproductive stage","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","general linear mixed model, linear mixed model, t-test","R",1,"0","1","0","yes","yes","https://doi.org/10.1093/beheco/ary123","supplementary material","NA","yes","yes","yes","yes","yes","Data accessibility: Analyses reported in this article can be reproduced using the R script provided as a Supplementary File and the data provided by McDiarmid et al. (2018). Supplementary files contains R code. also used automatic acoustic detection software (Kaleidoscope Pro 4.1.0a","NA","AC, AB"
"Can we face different types of storms under the same umbrella? Efficiency and consistency of connectivity umbrellas across different patchy landscape patterns","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","a stochastic simulation method called modified random clusters, landscape-resistance models, Conditional Minimum Transit Cost (CMTC) method, factorial ANOVA via permutation tests","SIMMAP and R",2,"2","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Captive husbandry and veterinary care of seabirds during the MV Rena oil spill response","WILDLIFE RESEARCH",2019,"2018-2019","yes","no","Cox Regression analysis, Binomial logistic regression, Chi-square analysis, Fishers Exact test, Mann–Whitney U-tests","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","some limited data might be possible to read from graphs","NA","AC, AB"
"Carbon storage potential increases with increasing ratio of C-4 to C-3 grass cover and soil productivity in restored tallgrass prairies","OECOLOGIA",2018,"2018-2019","yes","no","linear models, Monte Carlo methods, model averiging,  χ 2 tests and root mean square error of approximation","R and SPSS Amos",2,"2","1","0","no","no","NA","NA","NA","partially","yes","yes","no","no","done soil analysis, biochemical analysis. used AccuPAR LP-80. My understanding is that AMOS is not free","NA","AC, AB"
"Climate-Induced Changes in Spring Snowmelt Impact Ecosystem Metabolism and Carbon Fluxes in an Alpine Stream Network","ECOSYSTEMS",2018,"2018-2019","yes","no","simulations (spatially explicit hydrological model), Monte Carlo simulations, non linear maximisation, night-time regression approach, linear and logarithmic models, generalized least squares model, two-way ANOVA,  linear mixed effect models","R",1,"0","3","0","no","no","NA","NA","NA","yes","yes","yes","no","no","also conducted biochemical analyses","NA","AC, AB"
"Climate change and temporal trends in body size: the case of rodents","OIKOS",2018,"2018-2019","yes","no","linear regrassion, non-lineal models, χ2-test, Pearson product-moment correlation, phylogenetic generalized linear mixed model","R and Statistica",2,"0","3","1","no","no","NA","NA","NA","partially","yes","yes","yes","yes","Data available from the Dryad Digital Repository: < http://dx.doi.org/10.5061/dryad.3q67545 > (Villar and Naya 2018).","NA","AC, AB"
"Climate change will affect the ability of forest management to reduce gaps between current and presettlement forest composition in southeastern Canada","LANDSCAPE ECOLOGY",2019,"2018-2019","yes","no","simulation of forest dynamics, simulations for forest gap model , two-way factorial PERMANOVA","LANDIS-II and PICUS and R",3,"2","4","4","no","no","NA","NA","NA","yes","yes","yes","partially","yes","Landis extensions were scored as packages. It appears that landis does not have versions. some data downloaded from the World Climate Research Program (WCRP) Climate Model Intercomparison Project Phase 5 (CMIP5) archive. some data are in the form of input model parameters","NA","AC, AB"
"Combining plant-frugivore networks for describing the structure of neotropical communities","OIKOS",2018,"2018-2019","yes","no","graph and network analyses, linear regression","R and ANINHADO and MODULAR and NetCarto",4,"3","2","2","no","no","NA","NA","NA","yes","yes","yes","partially","yes","NetCarto  software does not have versions. Also used software QGIS ver. 2.16.0-Nødebo for building maps, Pajek for network visualisation","NA","AC, AB"
"Competition along productivity gradients: news from heathlands","OECOLOGIA",2018,"2018-2019","yes","no","mixed modelling, post hoc multiple comparisons, ANOVA, Cox proportional hazard models","R",1,"0","3","0","no","no","NA","NA","NA","yes","yes","yes","no","no","also conducted biochemical analyses","NA","AC, AB"
"Conceptual framework for evaluation of ecotourism carrying capacity for sustainable development of Karkheh protected area, Iran","INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY",2019,"2018-2019","yes","no","analytic network process model","Super Decision Software",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","also used ArcGis","NA","AC, AB"
"Considering landscape connectivity and gene flow in the Anthropocene using complementary landscape genetics and habitat modelling approaches","LANDSCAPE ECOLOGY",2019,"2018-2019","yes","yes","linear mixed effect model, pearsons correlation, MAXENT model, nonparametric robust γ-rank correlation tests, correlations, concetivity modelling, hierarchical clustering analyses","CONFEOR and R and LINKAGE MAPPER Software and CIRCUITSCAPE Software and PINCH POINT MAPPER Software and BARRIER MAPPER",6,"1","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","also used GeneMapper 3.7 software","NA","AC, AB"
"Constraints on treeline advance in a warming climate: a test of the reproduction limitation hypothesis","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","ANOVA, post-hoc Tukey HSD, multinomial logistic regression","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Context-specific learning and its implications for social learning","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","Spearmans rank test,  One Sample Wilcoxon Signed Rank tests, Wilcoxon Signed Rank tests, Wicoxon Rank Sum, permutation tests,  2-tailed binomial sign-tests","JMP and R",2,"2","0","NA","no","no","NA","NA","NA","partially","yes","yes","yes","yes","Analyses reported in this article can be reproduced using the data provided by (Truskanov and Lotem 2018).","NA","AC, AB"
"Costs and effectiveness of damage management of an overabundant species (Sus scrofa) using aerial gunning","WILDLIFE RESEARCH",2018,"2018-2019","yes","no","removal model in a hierarchical Bayesian framework, standard logistic population growthmodel","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AC, AB"
"Cyanobacteria reduce quagga mussel (Dreissena rostriformis bugensis) spawning and fertilization success","FRESHWATER SCIENCE",2018,"2018-2019","yes","no","ANOVA, Tukey post hoctests, Shapiro–Wilk test","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","also conducted bioassays","NA","AC, AB"
"Demographic consequences of invasion by a native, controphic competitor to an insular bird population","OECOLOGIA",2018,"2018-2019","yes","no","generalized linear model, linear model, population growth model, generalized linear mixed model, pairwise comparisons using Tukey contrasts","R",1,"1","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","also used ArcMap","NA","AC, AB"
"Detrital nutrient content and leaf species differentially affect growth and nutritional regulation of detritivores","OIKOS",2018,"2018-2019","yes","no","Pearson's r, weighted one-way ANOVA , (weighted) one-sample t-test, ANOVA","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data available from the Dryad Digital Repository: < http://dx.doi.org/10.5061/dryad.c9g148r > (Halvorson et al. 2018). also conducted biochemical analyses","NA","AC, AB"
"Diet and provisioning rate differ predictably between dispersing and philopatric pied flycatchers","BEHAVIORAL ECOLOGY",2019,"2018-2019","yes","no","PCA, ANOVA, bivariate General Linear Mixed Model,  Pearson’s correlation coefficients, General Linear Model, Monte Carlo simulations","R",1,"1","3","2","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data accessibility: Analyses reported in this article can be reproduced using the data provided by Nicolaus et al. (2018).","NA","AC, AB"
"Dietary changes in predators and scavengers in a nocturnally illuminated riparian ecosystem","OIKOS",2018,"2018-2019","yes","no","linear mixed-effect (LME) models, post hoc pairwise comparison, likelihood ratio test, Wilk–Shapiro tests, iterations","R",1,"0","2","2","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data available from the Dryad Digital Repository: < http://dx.doi.org/10.5061/dryad.3hf58 > (Manfrin et al. 2018). also conducted isotope analysis","NA","AC, AB"
"Discrimination of signal carotenoid content using multidimensional chromatic information","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","linear models, bootstrapping, randomization-based correlation","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data accessibility: Analyses reported in this article can be reproduced using the data provided by Pike (2017).","NA","AC, AB"
"Disentangling demographic co-effects of predation and pollution on population dynamics","OIKOS",2019,"2018-2019","yes","no","χ2-tests, permutation test, ANOVA, Post hoc Tukey-HSD, logistic model, nonlinear regression, paired t-test","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data available from the Dryad Digital Repository: < http://dx.doi.org/10.5061/dryad.4jt80p4 > (Reyes et al. 2018). mentions library, but not a package","NA","AC, AB"
"Disentangling Effects of Time Since Fire, Overstory Composition and Organic Layer Thickness on Nutrient Availability in Canadian Boreal Forest","ECOSYSTEMS",2019,"2018-2019","yes","no","correlation test, linear models (multiple regressions), partial least-square path modeling","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","also conducted analysis of soil samples, microbial samples, used Gap Light Analyzer software","NA","AC, AB"
"Distinctions in heterotrophic and autotrophic-based metabolism as recorded in the hydrogen and carbon isotope ratios of normal alkanes","OECOLOGIA",2018,"2018-2019","yes","no","Student t tests","JMP",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","also conducted isotope anlaysis, biochemical analysis","NA","AC, AB"
"Diversity-biomass relationship across forest layers: implications for niche complementarity and selection effects","OECOLOGIA",2018,"2018-2019","yes","no","Correspondence Analysis, Generalised Linear Mixed effects models, test for overdispersion, linear mixed-effects model, regression, Chi square statistic, comparative fit index (cfi), and root mean square error of approximation (rmsea)","R",1,"1","5","0","no","no","NA","NA","NA","yes","yes","yes","partially","yes","some data in supplement DOCX files, also publicly available sources such as the Global Wood Density database (Zanne et al. 2009), and the TRY database (Kattge et al. 2011). also used multispecies allometric biomass equation, and calulcated biodiveristy indeces","NA","AC, AB"
"DNA metabarcoding of nestling feces reveals provisioning of aquatic prey and resource partitioning among Neotropical migratory songbirds in a riparian habitat","OECOLOGIA",2018,"2018-2019","yes","yes","ANOVA, refaction curves, PERMANOVA, non-metric multidimensional scaling","R",1,"0","3","3","no","no","NA","NA","NA","yes","yes","yes","yes","yes","also done Levins’ Index of dietary niche breadth with a vegan package","NA","AC, AB"
"Does fire disturbance affect ant community structure? Insights from spatial co-occurrence networks","OECOLOGIA",2019,"2018-2019","yes","no","Generalized Mixed Models (GLMM), analysis of similarities (ANOSIM), General Linear Models , network analysis, Non-Metric Multidimensional Scaling (NMDS) ordination, non-parametric Wilcoxon signed-rank test, Mantels test","R",1,"0","3","1","no","no","NA","NA","NA","yes","yes","yes","no","no","also calulated the Checkerboard score (C-score) and the Sørensen index (Sør)","NA","AC, AB"
"Dominant and subordinate outside options alter help and eviction in a pay-to-stay negotiation model","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","game theoretical model","MATLAB",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AST, AB"
"Driving Factors Behind Litter Decomposition and Nutrient Release at Temperate Forest Edges","ECOSYSTEMS",2018,"2018-2019","yes","no","mathematical modes, one-way ANOVA, two-way ANOVA, Pearson correlation coefficients, Tukey’s HSD post hoc test","SPSS and R",2,"2","0","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","also conducted chemical anlaysis","NA","AC, AB"
"Drought and soil fertility modify fertilization effects on aphid performance in wheat","BASIC AND APPLIED ECOLOGY",2018,"2018-2019","yes","no","linear mixed models,  Tukey multiple comparison
test","R",1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","no","no","supplements not visible","NA","AC, AST, AB"
"Ecological and biogeographical drivers of freshwater green algae biodiversity: from local communities to large-scale species pools of desmids","OECOLOGIA",2018,"2018-2019","yes","no","PCA, Mantel and partial Mantel tests, network analyses (Modularity analysis, permutations), Kruskal–Wallis tests, randomisation, Wilcoxon signed ranked test, Partial Least Square Regression","R",1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","estimated the Sørensen index of taxonomic dissimilarity between communities","NA","AC, AB"
"Ecological consequences of shrub encroachment in the grasslands of northern China","LANDSCAPE ECOLOGY",2019,"2018-2019","yes","no","structural equation modeling, χ2 goodness-of-fit statistic","SPSS Amos",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Ecosystem multifunctionality increases with beta diversity in restored prairies","OECOLOGIA",2018,"2018-2019","yes","no","Mantel test, PCA, SEM, correlation, gower dissimilarities, Bray–Curtis dissimilarity","R",1,"1","4","2","yes","yes","https://doi.org/10.5061/dryad.2175q","repository","Dryad","yes","yes","yes","yes","yes","Data on plant community composition, ecosystem functions, environmental characteristics, and species traits are available on Dryad (Zirbel et al. 2017b). Note that the data contain analyitcal code too, however this is not visible from the article text. Also calculated taxonomic alpha species richness.","NA","AC, AB"
"Edge contrast does not modulate edge effect on plants and pollinators","BASIC AND APPLIED ECOLOGY",2018,"2018-2019","yes","no","diversity profile calculation, sampling bias calcualtion, t-test, linear modelling,","R",1,"1","3","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Effects of experimental season of prescribed fire and nutrient addition on structure and function of previously grazed grassland","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","randomized block, split-plot analyses of variance","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","also conducted chemical anlaysis","NA","AC, AB"
"Effects of nitrogen addition on plant biomass and tissue elemental content in different degradation stages of temperate steppe in northern China","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","Repeated-measures ANOVA, two-way ANOVA, one-way ANOVA, Tukey’s multiple comparison test, Standard major axis (SMA) regression analysis","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","also conducted chemical anlaysis","NA","AC, AB"
"Elemental allelopathy by an arsenic hyperaccumulating fern, Pteris vittata L.","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","two-way analyses of variance, multiple regressions","JMP",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","also conducted arsenic analysis, bioasseys. Data tables in word supplementary files","NA","AC, AB"
"Emergent interactions influence functional traits and success of dune building ecosystem engineers","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","three-way ANOVA , two-way ANOVA , Tukey HSD, Student’s t-test","JMP",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Entrapped carrion increases indirect plant resistance and intra-guild predation on a sticky tarweed","OIKOS",2018,"2018-2019","yes","no","linear model, Breush-Pagan test, likelihood ratio tests, generalized linear model","R",1,"1","3","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Estimating the permeability of linear infrastructures using recapture data","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","simulations, Rayleigh tests, negative exponential function, inverse power function","R and QGIS",2,"2","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","sais that Butterfly empirical data (motorway.csv and railway.csv) and R-scipts are uploaded as online supporting information. But we cannot see this in the provided supplement.","NA","AC, AST, AB"
"Evidence for nonconsumptive effects from a large predator in an ungulate prey?","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","step selection functions, conditional logistic regression, Autocorrelation in the deviance residuals, spearman rank correlation, Variance inflation factors, Cox proportional hazards models","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data accessibility: Analyses reported in this article can be reproduced using the data provided by Gehr et al. (2018).","NA","AC, AB"
"Experimental duration and predator satiation levels systematically affect functional response parameters","OIKOS",2018,"2018-2019","yes","no","colinearity test, linear models, linear mixed-effects models,","R",1,"0","2","2","yes","yes","https://doi.org/10.1111/oik.04479","supplementary material","NA","yes","yes","yes","yes","yes","Data available from the Dryad Digital Repository: http://dx.doi.org/10.5061/dryad.g5516 (Li et al. 2017b). Code is in a PDF file, and from the text it is not clear that this supplementary file contains code.","NA","AC, AB"
"Experimental quantification of insect pollination on sunflower yield, reconciling plant and field scale estimates","BASIC AND APPLIED ECOLOGY",2019,"2018-2019","yes","no","linear models, linear mixed models, asymptotic model, multiple stepwise regression,","R",1,"0","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","no supplement visible","NA","AC, AST, AB"
"Fear of feces? Tradeoffs between disease risk and foraging drive animal activity around raccoon latrines","OIKOS",2018,"2018-2019","yes","no","paired Wilcoxon signed-rank test","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data deposited in Dryad Repository: https://datadryad.org/stash/dataset/doi:10.5061/dryad.vr20p","NA","MP, AB"
"Fear, foraging and olfaction: how mesopredators avoid costly interactions with apex predators","OECOLOGIA",2018,"2018-2019","yes","no","a negative binomial regression GLMM; a loglinear (Poisson distribution and log link) GLMM; regression analysis","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","MP, AB"
"Fostering close encounters of the entomological kind","FRONTIERS IN ECOLOGY AND THE ENVIRONMENT",2018,"2018-2019","yes","no","generalized linear mixed-effects models; type III ANOVA","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","Information on statistical software and package used are available as a part of SI: https://esajournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Ffee.1795&file=fee1795-sup-0001-WebFigureS1.pdf; https://esajournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Ffee.1795&file=fee1795-sup-0002-WebTableS1.pdf","NA","MP, AB"
"Frequently mated males have higher protein preference in German cockroaches","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","ANOVA, Wilcoxon tests and comparisons; ordinal logistic regression; Wald statistic in proportional hazard tests; Bartlett tests; Shapiro-Wilk tests; linear regression; t-test; MANOVA","JMP",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","Data available on Dryad: https://datadryad.org/stash/dataset/doi:10.5061/dryad.qc8255v","NA","MP, AB"
"Functional diversity in nematode communities across terrestrial ecosystems","BASIC AND APPLIED ECOLOGY",2018,"2018-2019","yes","no","one-way ANOVA and Tukey's test","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","The code provided in the website corresponds with some functions only but not the specific code use for the project. I would lean towards say that the code is indeed not provided, also given that I agree with you that no stats code is provided but only the functions for functional evenness and functional divergence. The R code used for calculating functional diversity indices is available on the web page https://www.unisalento.it/web/guest/schedapersonale/-/people/giorgio.mancinelli. However, I don't think functional diversity indices are a part of statistical analysis; on author's webpage translate page from italian to english than click on related resources - there you'll find functional diversity.pdf
 Data used in this work were published as Data Paper in the Ecology journal (Mulder & Vonk 2011). Data can be accessed through the link https://figshare.com/articles/Data Paper Data Paper/3552057.
 Can't access Supplementary data.
 It's not clear does the author use R for statistical analysis.","NA","MP, AST, AB"
"Genetic relatedness and sex predict helper provisioning effort in the cooperatively breeding noisy miner","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","yes","GLMMs; Likelihood Ratio test; t-test","R",1,"0","3","3","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data from: Barati A, Andrew RL, Gorrell JC, Etezadifar F, McDonald PG. 2018a. Data from: genetic relatedness and sex predict helper provisioning effort in the cooperatively breeding noisy miner. Dryad Digital Repository. doi:10.5061/dryad.mb640","NA","MP, AB"
"Genomic analysis of MHC-based mate choice in the monogamous California mouse","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","yes","Hardy–Weinberg tests; pairwise comparisons; pairwise estimates
 of coefficients of relatedness; Wilcoxon’s signed rank tests","R",1,"0","5","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data: Meléndez-Rosa J, Bi K, Lacey EA. 2018. Data from: genomic analysis of MHC-based mate choice in the monogamous California mouse. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.r5b482n","NA","MP, AC"
"Geographic location, local environment, and individual size mediate the effects of climate warming and neighbors on a benefactor plant","OECOLOGIA",2019,"2018-2019","yes","no","linear model, likelihood ratio tests, GLMMs, least-squares means of performance","R",1,"0","3","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","MP, AB"
"Grassland fragmentation and its influence on woody plant cover in the southern Great Plains, USA","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","quantile regression analysis","R",1,"1","2","1","no","no","NA","NA","NA","yes","yes","yes","partially","yes","The numbers of fires per ecoregion (level III) were calculated from 1984 to 2015 which was available from the Monitoring Trends in Burn Severity (MTBS) at the time of study (Eidenshink et al. 2007). 
 Land cover types according to the National Land Cove Database (NLCD) (Homer et al. 2015)","NA","MP, AB"
"Growth responses of the common arctic graminoid Eriophorum vaginatum to simulated grazing are independent of soil nitrogen availability","OECOLOGIA",2018,"2018-2019","yes","no","general linear mixed efects model","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","MP, AB"
"Habitat connectivity and complexity underpin fish community structure across a seascape of tropical macroalgae meadows","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","PERMANOVA, a similarity percentages test, principal coordinates ordination, best-subsets model selection (DistLM) and distance based redundancy analysis (dbRDA),","Primer",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","MP, AB"
