Coder initials:,id,Please flag any of the following issues that prevent you from coding this article:,What is the 2016 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?,How many times has the article been cited in a meta-analysis?,How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,eid,year,jnl,vol,iss,page,artno,title,doi,subjectArea,cites,abstract,journal,language,ASJC,KBclassification
TB/TH,TpvWd,There are no issues,NA,NA,Germany,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84957811841,2016,Int. J. Confl. Manage.,27,1,2,NA,“Mission impossible”: exploring the viability of power-sharing as a conflict-resolution tool in Syria,10.1108/IJCMA-12-2014-0090,Communication,1,"¬© 2016, ¬© Emerald Group Publishing Limited.Purpose ‚Äì This paper aims to show the viability of consociational power-sharing as a conflict-resolution tool in Syria. It further argues that a subsequent movement from consociational to centripetal power-sharing is vital to ensure sustainable peace. Design/methodology/approach ‚Äì A theoretical overview of power-sharing as a conflict-resolution tool provides the basis for this paper, supported by empirical evidence and qualitative research analysis for its proposed application in Syria. Perceived obstacles to a negotiated settlement are outlined, with suggestions made as to how these issues can be transformed into incentives for invested parties. Such obstacles include Bashar al-Assad remaining in power, and calls for the implementation of Shari‚Äôa law by some opposition groups. Findings ‚Äì While previously the conditions of the conflict were not conducive to peace talks, this paper finds that regional developments, including the rise of the Islamic State of Iraq and Syria, have re-opened the possibility of, and indeed the necessity for, political negotiations. Detailing the complexity of a conflict that goes far beyond a mere sectarian divide, the findings of this paper dispel the notion that a sectarian partition is a viable model for Syria. The paper highlights the multiple cleavages occurring simultaneously, and shows how a power-sharing model is best suited to deal with them. Originality/value ‚Äì The paper analyses the ongoing inertia of political negotiations to peacefully resolve the conflict. It offers an approach to conflict-resolution in Syria that has, thus far, not been adequately considered in academic ‚Äì or political ‚Äì spheres.",International Journal of Conflict Management,eng,BUS SOC,LightOrange
SC/TH,trCkb,There are no issues,NA,NA,Canada,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"This study is supported by the research grants from the “Project 211” Fund of the Central University of Finance and Economics, China and grants from the “2011 Synergetic Innovation” Key Project on “Development of Public Accounting Profession” of the Central University of Finance and Economics, China. We also gratefully acknowledge the financial support from the Research Fellowship Program at the School of Accounting and Finance of the University of Waterloo",No - could not access article other than through paywall,84901619394,2014,Adv. Account.,30,1,18,NA,"Mandatory audit partner rotation, audit market concentration, and audit quality: Evidence from China",10.1016/j.adiac.2013.12.001,Accounting,1,"This research examines the audit quality consequences of China's mandatory audit partner rotation (MPR) regulation, which became effective in 2004. The rule requires firms to rotate signing audit partners of audit reports every five years. We find that audit quality improves in the three years immediately following a client firm's MPR during the 2004-2011 period for a sample of 273 Chinese publicly listed firms. Specifically, we find that the improvement is most pronounced in those Chinese provinces with both low levels of audit market concentration and low levels of legal development. However, MPR does not improve audit quality in jurisdictions where legal conventions are more developed and/or where audit markets are highly concentrated with a handful of large audit firms dominating the market. ¬© 2013 Elsevier Ltd.",Advances in Accounting,eng,BUS ECON,LightOrange
JW/TH,ucxAn,There are no issues,3.194,5.086,United Kingdom,Human,Empirical data - case study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,85014422080,2017,Ann. Tour. Res.,64,NA,13,NA,Humanising migrant women's work,10.1016/j.annals.2017.02.002,Development,0,"© 2017 Elsevier Ltd Female migrants make an important contribution to the global tourism industry yet their employment experiences and histories are poorly understood. This paper draws on a phenomenological position to explore the life-world and ten-year employment trajectory of one highly skilled Polish immigrant to the UK as told through her own voice and artwork. It challenges prevailing de-personalised and gender-blind accounts of tourism migrant workers, and demonstrates the methodological potential of one-voice research to humanise the female migrant experience, document long-term employment trajectories and foreground complex working lives. The paper provides nuanced understanding of intersectional gendered and ethnic marginalisation in the labour market and explores the ways in which employment creates spaces for both oppression and self-determination for precarious workers.",Annals of Tourism Research,eng,BUS SOC,LightOrange
MK/TH,UhnGS,There are no issues,3.354,1.48,Brazil,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,The article claims to report a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84919658334,2015,J. Bus. Res.,68,2,189,NA,Investigating the partial adjustment effect of Brazilian IPOs,10.1016/j.jbusres.2014.09.027,Marketing,1,"© 2014 Elsevier Inc.Global literature reports positive initial return in IPOs, or ""money left on the table"" by the issuing companies. One possible cause is that when the underwriter perceives high demand, she adjusts upward the offer price, but not the full fair price. This partial adjustment creates positive first day return, which is used to compensate informed investors for revealing truthful information during the book building process. We investigate Brazilian IPOs issued between 2004 and 2012 and find evidence similar to the findings in the US. The launching price is lower than the first day closing price, and underwriter increases the number of shares in the aftermarket with the overallotment option. The new shares issued in the aftermarket reduce the ""money left on the table"" and at the same time compensates informed investors. Surprisingly the underpricing is less than half of the one reported in the US.",Journal of Business Research,eng,BUS,LightOrange
SC/TH,UJGNc,There are no issues,NA,NA,Belgium,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84901464120,2014,Diplomacy and Statecraft,25,2,356,NA,Alternatives to the Resident Embassy: Intra-EU Diplomatic Networks in the Twenty-first Century,10.1080/09592296.2014.907074,History,0,"Increasingly integrated in a common political entity, the European Union's member states are exploring new avenues to shape and maintain their mutual relations. This analysis describes three alternatives to the traditional resident embassy by which ministries of foreign affairs within the EU attempt to maintain diplomatic networks. The models discussed are secondments within member states' capitals, visiting ambassadors, and co-location and co-operation. In other words, with regard to different modes of representation, member states can consider diving in, stepping back, or pooling and sharing. These developments shed light on the ways in which the diplomatic machineries of the member states are trying to adapt to the demands of a ""post-Westphalian"" environment such as that of the EU. Copyright ¬© Taylor & Francis Group, LLC.",Diplomacy and Statecraft,eng,AH SOC,LightOrange
SC/TH,UmplU,There are no issues,NA,NA,Russia,Human,Empirical data - multiple study types are reported,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,The English collocations were the following:,In current article,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"The work is performed according to the Russian Government Programme of
Competitive Growth of Kazan Federal University",Yes - found article via other means,84982676316,2016,Int. J. Environ. Sci. Educ.,11,6,1275,ijese.2016.1,A study on the phenomenon of collocations: Methodology of teaching English and German collocations to Russian students,10.12973/ijese.2016.398a,Education,2,"¬© Author(s). Relevance of the issue stated in the article is determined by the fact that there is a lack of research devoted to the methods of teaching English and German collocations. The aim of our work is to determine methods of teaching English and German collocations to Russian university students studying foreign languages through experimental testing. The result of our study is to create a classification of collocations teaching methods. In our study we follow the broadside approach in respect of the volume of collocations applying the terminology of foreign and Russian linguists. A model of effective methods of teaching collocations to junior language students has been introduced, by using the modelling method. Collocations with a complicated semantic structure cannot be understood without some special knowledge and require, as a result, special methods of teaching. The models of exercises suggested can be used effectively by first-year students at German and English classes.",International Journal of Environmental and Science Education,eng,SOC,LightOrange
SC/TH,unxgi,There are no issues,NA,NA,Hong Kong,Human,Empirical data - laboratory study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84924455630,2015,Health Mark. Q.,32,1,48,NA,Regulatory Fit Effects on Children's Responses to Healthy Eating Promotion: An Experiment Testing Message and Celebrity Fit,10.1080/07359683.2015.1000737,Health Professions (all),1,"¬© 2015, Copyright ¬© Taylor & Francis Group, LLC.This study adopts the regulatory fit theory and examines the effects of the celebrity and message fit on children's responses to the promotion of healthy eating. A 2 √ó 2 experiment was conducted with 87 Hong Kong children ages 11 to 16. The results showed that a regulatory fit between the celebrity focus and the message focus yielded a better affective response. Specifically, children found a poster ad more convincing, liked it more, held more positive feelings, and found the poster ad more interesting in the fit conditions. Implications and future research directions were discussed.",Health Marketing Quarterly,eng,BUS,LightOrange
JW/TH,uOFAE,There are no issues,0.558,0.603,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,None,No - there is no funding statement,none,No - could not access article other than through paywall,84925690019,2015,Econ. Lett.,130,NA,72,NA,Does search boost efficiency?,10.1016/j.econlet.2015.03.006,Economics and Econometrics,0,"© 2015 Elsevier B.V. Poaching externality, arising from job-to-job turnovers, implies that a planner should allocate fewer resources to costly job creations. However, these search efforts increase competition among employers, and this could in turn internalize the externality, whereas the congestion externality requires a unit-elastic matching function.",Economics Letters,eng,ECON,LightOrange
TB/TH,UYTYC,There are no issues,NA,NA,Jordan,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,85006256295,2014,J. Lang. Lit.,5,2,49,NA,Postcolonial feminism: Silence and storytelling in j. M. Coetzee's foe,10.7813/jll.2014/5-2/7,Language and Linguistics,1,"This paper looks at the intersections of feminism and postcolonialism as far as the issue of silence and storytelling is concerned. It does so by examining the characters of Friday and Susan Barton in J. M. Coetzee's 1986 novel Foe. It is argued that colonialist ideology functions in the same way patriarchal ideology does with regard to the oppression of the racial other and women, respectively. Just as Friday is silenced on racial grounds, as an African slave with no access to power, Susan Barton is silenced as a woman pushed outside the canon of male authorship. Coetzee's novel draws our attention to the dangers of appropriation inherent to any oppressive ideology. Importantly, the novel tackles the discursive resistance to colonialist and patriarchal ideologies via the resistant body of the mute Friday (a body that resists reduction to colonial language) and Susan Barton's adamant attempts to get her story of island adventures told. By intertwining postcolonialism and feminism, Coetzee's achievement, thus, is twofold: A critique of Western totalizing narratives and a doubling of the political and ideological thrust of his novel.",Journal of Language and Literature,eng,AH SOC,LightOrange
JW/TH,VCafH,There are no issues,NA,NA,United States of America,Neither,Empirical data - case study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,This work was supported by a Pacific University Story-Dondero faculty development grant.,No - could not access article other than through paywall,84921064842,2015,Sport Soc.,18,2,219,NA,Gender and politics at the 2012 Olympics: media coverage and its implications,10.1080/17430437.2013.854481,Cultural Studies,5,"© 2013, © 2013 Taylor & Francis.As the world's premier multi-sport event, the Olympic Games present a propitious opportunity to explore the nexus of gender and politics. In this study, we zero in on the role of gender at the 2012 London Summer Games as transmitted through the mainstream mass media in the USA and the UK. We focus on the actions of Olympic athletes and how the media framed those actions. More precisely, we analyse three gender-centric episodes that were covered widely by the media during the 2012 Olympics: (1) the first-ever participation by women from Saudi Arabia, Brunei, and Qatar; (2) the participation of South African runner Caster Semenya and the issue of sex testing; and (3) women's beach volleyball competition and gender norms. Deploying frame analysis and feminist critical theory, we offer quantitative and qualitative analysis of these three episodes, and draw out wider political implications.",Sport in Society,eng,SOC,LightOrange
TB/TH,vcDBa,There are no issues,1.474,0.575,United Kingdom,Human,Empirical data - survey,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,The UPMAP surveys can be downloaded from http://www.ioe.ac.uk/study/departments/cpat/4814.html,A personal or institutional webpage,No,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"We are grateful to the Economic Social Research Council for funding the
UPMAP project (RES-179-25-0013) from 2008–2011.",Yes - found via Open Access Button,84899441958,2014,Int. J. Sci. Math. Educ.,12,2,371,NA,"A SURVEY OF PSYCHOLOGICAL, MOTIVATIONAL, FAMILY AND PERCEPTIONS OF PHYSICS EDUCATION FACTORS THAT EXPLAIN 15-YEAR-OLD STUDENTS' ASPIRATIONS TO STUDY PHYSICS IN POST-COMPULSORY ENGLISH SCHOOLS",10.1007/s10763-013-9404-1,Education,24,"This paper investigates the factors that influence 15-year-old students' intentions to study physics post-16, when it is no longer compulsory. The analysis is based on the year 10 (age, 15 years) responses of 5,034 students from 137 England schools as learners of physics during the academic year 2008-2009. Factor analyses uncovered a range of physics-specific constructs, 7 of which were statistically significantly associated with intention to study physics post-16 in our final multi-level model; in descending order of effect size, these are extrinsic material gain motivation, intrinsic value of physics, home support for achievement in physics, emotional response to physics lessons, perceptions of physics lessons, physics self-concept and advice-pressure to study physics. A further analysis using individual items from the survey rather than constructs (aggregates of items) supported the finding that extrinsic motivation in physics was the most important factor associated with intended participation. In addition, this item-level analysis indicated that, within the advice-pressure to study physics construct, the encouragement individual students receive from their teachers is the key factor that encourages them to intend to continue with physics post-16. ¬© 2013 National Science Council, Taiwan.",International Journal of Science and Mathematics Education,eng,SOC,LightOrange
MK/TH,vIHVp,There are no issues,3.435,2.88,United Kingdom,Human,Empirical data - multiple study types are reported,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84939265418,2015,Comput. Hum. Behav.,52,NA,508,3259,Supporting community cohesion through ICT: The epartners programme in Northern Ireland,10.1016/j.chb.2015.02.039,Arts and Humanities (miscellaneous),1,"© 2015 Elsevier Ltd.Abstract In the face of deep-rooted sectarian sentiment in Northern Ireland and the pervasive nature of ""separateness"" between the Protestant and Catholic communities, this article examines school projects designed to promote community cohesion and assesses the role that information and communications technology (ICT) can play to encourage collaboration within a social psychology framework. Further, we report on exploratory research conducted through the evaluation of a pilot program that involved university student tutors working with teachers and pupils in a range of schools. Our findings to date suggest that a strong focus on collaborative work in non-contentious areas of the curriculum has a strong chance of securing support from key stakeholders, including teachers, the main churches and other stakeholders in the educational system.",Computers in Human Behavior,eng,AH PSY,LightOrange
TB/TH,vIoMe,There are no issues,NA,NA,Slovenia,Human,Empirical data - multiple study types are reported,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84969981060,2015,World Polit. Sci.,11,1,133,NA,Critical analysis of civil service politicization in Slovenia,10.1515/wps-2015-0002,Political Science and International Relations,0,"Even though some level of politicization is pressed into the ""genetic material"" of administrative systems, the majority of experts agree that a system with high levels of politicization is less efficient, as most individuals do not have the chance to develop their full potential. The weaknesses of politicization are even more devastating in smaller states such as Slovenia, as they have a limited amount of human resources available. Based on a detailed analysis of the politicization of civil service in Slovenia, the authors can confirm that the level of politicization is quite high. After accession into the European Union (2004) and the adoption of austerity laws (2010-2013), politicization increased even further. Despite the formal existence of a meritocratic civil service system, politicians have an increasingly decisive role in the employment and advancement of civil servants, and total control over the appointment and dismissal of senior civil servants. The authors conclude that the predominance of politicians with relationships to senior civil servants can be changed with relatively simple adjustments to formal acts.",World Political Science,eng,SOC,LightOrange
JW/TH,vMuIU,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84900824109,2014,Int. J. Hosp. Tour. Adm.,15,2,121,NA,Differences in Expectations and Perceptions Between Hospitality Providers and International Customers: The Case of Korean and Japanese Group Tourists in Thai Hotels,10.1080/15256480.2014.901058,"Tourism, Leisure and Hospitality Management",1,"The aim of this study is to ascertain, in an international tourism context, whether there are cultural discrepancies between hotel employees who have been educated and trained in a host country, and guests who have traveled to that country, given that each group is imbued with their own national culture. The findings indicate that not only do Thai frontline hotel employees have different expectations about the behavior of Japanese and Korean customers, but that the expectations of both customer groups concerning their own behavior differ from those of Thai employees. A significant gap was found in perceptions of actual behavior between the international customers and hotel staff, suggesting that cultural discrepancies are indeed present, but also vary by ethnicity. The scale of the discrepancy between Thai employees' perceptions of Japanese tourists' behavior, for example, was larger than in the case of the Korean customers. Comparison of the expectations of the two international customer groups also revealed strong differences. Copyright © Taylor & Francis Group, LLC.",International Journal of Hospitality and Tourism Administration,eng,BUS,LightOrange
MK/TH,vTRAV,There are no issues,NA,NA,Malaysia,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,Source of data provided but no explicit availability statement,Data for this study is taken from SME Corp. Malaysia (http://www.smeinfo.com.my).,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,85008312049,2016,Intellect. Discourse,24,NA,387,NA,Islamic financing in mitigating access to financing problems of SMEs in Malaysia: A survey analysis,NA,Sociology and Political Science,0,"Copyright © IIUM Press. The SMEs worldwide face the biggest problem in accessing financial assistance. By surveying selected SMEs in Malaysia, this study found similar cases as they are also facing the same problem because of a lack of collateral. Investigating the feasibility of Islamic financing schemes in providing financial aids to SMEs, this study found that several Islamic financial schemes are preferred by SMEs depending on the risk profile of SMEs. These Islamic financial schemes can build a firm liaison with SMEs in realizing the Maqasid al Shari'ah and simultaneously offer paths to better distribute wealth and prosperity among SMEs and the funders as well. This study contributes significantly to the literature as it provides insights to the nature of the SMEs and the bridge built between the SMEs and the Islamic financing schemes as to realize the Islamic social financing aim as a whole.",Intellectual Discourse,eng,AH SOC,LightOrange
SC/TH,VVbVF,There are no issues,NA,NA,United States of America,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84905044296,2014,J. Reg. Anal. Policy,44,1,71,NA,Local labor market restructuring in the shale boom,NA,"Geography, Planning and Development",18,"Innovations in hydraulic fracturing have led to oil and gas booms in various shale plays across the U.S. The economic impact of shale development has been estimated previously with varying results. The results are often used to justify supporting the industry. Thus, a precise estimate of the economic impact to communities is important. A county level analysis of the lower 48 states from 2001-2011 provides an estimate of the local economic impact as well as the labor market restructuring occurring due to the recent shale boom and can provide insight into the mechanisms behind the ""natural resource curse."" Results suggest that the impact of shale development on employment is modest, with the impact on earnings growth approximately double that of the impact on employment, though the growth effects seem to wane over time. The employment multiplier from oil and gas development is estimated to be approximately 1.3. ¬© 2014 MCRSA. All rights reserved.",Journal of Regional Analysis and Policy,eng,SOC,LightOrange
TB/TH,vxZYf,There are no issues,3.624,3.624,United Kingdom,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"Professor Andrews’ contribution to this research was funded from the European Union’s Seventh Framework Programme under grant agreement No. 266887 (Project COCOPS), Socio-economic Sciences & Humanities.",Yes - found via Open Access Button,84964655303,2016,J. Public Adm. Res. Theory,26,2,239,NA,Organizational Capability in the Public Sector: A Configurational Approach,10.1093/jopart/muv005,Sociology and Political Science,6,"¬© 2015 The Author 2015. Published by Oxford University Press on behalf of the Journal of Public Administration Research and Theory, Inc. All rights reserved.This article brings together resource-based theory and contingency theory to analyze organizational capability in the public sector. Fuzzy-set qualitative comparative analysis is used to identify configurations of organizational attributes (department size, structural complexity, agencification, personnel instability, use of temporary employees), associated with high and low organizational capability in UK central government departments. Findings identify a single core configuration of organizational attributes associated with high capability departments-low structural complexity and personnel stability. Two core configurations are associated with low capability departments-personnel instability and the combination of structural complexity and departmental agencification. Based on the configurations evident in successful and struggling organizations, discussion illuminates potential organizational design strategies to improve public sector organizational capability.",Journal of Public Administration Research and Theory,eng,BUS SOC,LightOrange
SC/TH,vYNsL,There are no issues,1.212,1.212,Australia,Human,Empirical data - multiple study types are reported,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,This paper is based on research supported by an Australian Research Council Discovery grant (DP120100270 – The Political Ecology of Forest Carbon: Mainland Southeast Asia’s New Commodity Frontier?). The views expressed here are those of the authors and do not necessarily represent those of the funders.,No - could not access article other than through paywall,84979536474,2016,Asia Pac. Viewp.,57,2,180,NA,Anatomy of a boom: Cassava as a ‘gateway’ crop in Cambodia's north eastern borderland,10.1111/apv.12122,"Geography, Planning and Development",4,"¬© 2016 Victoria University of Wellington and John Wiley & Sons Australia, Ltd This paper examines how a boom in industrial cassava served as a ‚Äògateway‚Äô to intensify capitalist relations in Cambodia's north eastern borderland. Situated on Cambodia's border with Vietnam, Mondulkiri province has experienced a rapid increase in cassava production and trade since 2006, with transformative consequences for the region's forests and farmers. Using field data from 2012 to 2014, we explore how the boom ignited and intensified over time, through a conjuncture of conditions. Alongside strong market demand for cassava, these included resource abundance (soil fertility, timber, land, labour), connectivity to markets and cross border networks, and facilitative governance conditions. Over time, the boom strengthened capitalist relations, particularly through farmer debt and the revalorisation and accumulation of land. However, unlike booms of tree crops elsewhere, we argue that it is the very impermanence of cassava that is formative here, because the crop's short-term nature and low overheads facilitate practices like land laundering and land mortgaging. Like the ‚Äògateway drugs‚Äô that were believed to place users on a path to addiction and risk, this paper shows that gateway crops such as cassava may similarly place farmers on a trajectory of more intense competition and reduced choice in their engagements with capitalist modes of production.",Asia Pacific Viewpoint,eng,SOC,LightOrange
TB/TH,VYWHq,There are no issues,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84941218739,2015,Comp. Lit. Stud.,52,3,585,NA,"Writing trauma, writing life in Chanrithy Him's: When broken glass floats",NA,Cultural Studies,1,"Copyright ¬© 2015 The Pennsylvania State University. In ""Writing Trauma, Writing Life in Chanrithy Him's When Broken Glass Floats,"" I discuss Him's autobiography within the context of recovery narratives, where survivors of traumatic events use writing as therapy and healing. In my exegesis of the text, I demonstrate how not just Him's memory but also the history and culture of Cambodia are reclaimed in this recovery narrative, with Him somewhat paradoxically infusing her memoir, a genre that goes against the grain of Cambodian literary tradition with its focus on the self, with elements of Cambodian culture, history, and poetic structure. The result, I argue, is a text that is neither traditional Cambodian literature nor typical American immigrant literature. I conclude the essay by locating this emergent literature within the recent global boom in witness narrative and, more specifically, within the emergent discourse of Southeast Asian American studies.",Comparative Literature Studies,eng,AH SOC,LightOrange
