Timestamp,Coder initials:,Article ID:,Please flag any of the following issues that prevent you from coding this article:,How many times has the article been cited in a meta-analysis?,"How many times was the article cited *incidentally* in a meta-analysis (i.e., no intention to include in data synthesis)?",How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,"How many times was the article cited *incidentally* in a systematic review (i.e., no intention to include in formal review)?",How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",conflictType,Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,What is the 2017 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?
1/27/19,RT/TH,NGxCF,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found via Open Access Button,0.66,0.481,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
1/27/19,RT/TH,SXiqg,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,Author A declares that he/she has no conflict of interest. Author B declares that he/she has no conflict of interest. Author C declares that he/she has no conflict of interest. Author D declares that he/she has no conflict of interest,NA,No - there is no funding statement,none,Yes - found article via other means,1.28,1.28,Italy,Human,Empirical data - survey/interview
1/27/19,RT/TH,RKOam,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,"The authors are not aware of any affiliations, memberships, funding, or financial holdings that might be perceived as affecting the objectivity of this review.",NA,Yes - the statement says that there was funding from a public organization(s),"This is a work of the U.S. Government National Institute of Mental Health, National Institutes of Health",Yes - found via Open Access Button,13.278,12.214,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
1/27/19,RT/TH,rrcaq,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,2.617,2.617,Canada,Human,Empirical data - laboratory study
1/27/19,RT/TH,NKcLJ,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article",NA,Yes - the statement says that there was funding from a public organization(s),"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The research was partly funded from the statutory funds awarded to the Institute of Psychology by the Ministry of Science and Higher Education (Grant No. 1358/M/IPS/11)",Yes - found article via other means,1.964,1.439,Poland,Human,Empirical data - survey/interview
1/27/19,RT/TH,uafur,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"""This material is based upon work supported by the Department of Veterans Affairs, Veterans Health Administration, VISN 1 Early Career Development Award
to Megan M. Kelly. This work was also supported by grants from the National Institute of Mental Health to Dr. Phillips (R01MH60241 and 5K24MH063975). The views expressed in this article are those of the authors and do not necessarily reflect the position or policy of the Department of Veterans Affairs or the United States government""",Yes - found via Open Access Button,3.595,2.042,United States of America,Human,Empirical data - survey/interview
10/21/18,JW/MK,VXZBF,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""No potential conflict of interest was reported by the authors.""",NA,No - there is no funding statement,None,Yes - found article via other means,1.994,1.902,Ireland,Human,Empirical data - survey/interview
10/21/18,JW/MK,GiFef,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,"""Of these, nine traits were of interest, measuring receivers’ perceptions of the
promise maker’s selfishness (unfair, unkind, and selfish), fairness (just, fair, and equitable), and generosity (charitable, generous, and kind; see Appendix for the complete list).""",Supplementary information hosted by the journal,No,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.""",NA,Yes - the statement says that no funding was provided,"""The author(s) received no financial support for the research, authorship, and/or publication of this article.""",Yes - found article via other means,2.633,2.561,United States of America,Human,Empirical data - laboratory study
10/21/18,JW/MK,wfFwp,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,Yes - the statement says that the data (or some of the data) are available,Individual data are provided in the online appendices.,Supplementary information hosted by the journal,Yes,Yes,No,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),"Support for this research was provided by the National Institutes of Health (HD060563), a 2CI Primate Social Cognition, Evolution & Behavior Fellowship and the Rumbaugh Fellowship from Georgia State University.",Yes - found via Open Access Button,1.861,1.779,United States of America,Both,Empirical data - laboratory study
11/26/18,JW/MK,YSzDO,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greece,Human,Empirical data - survey/interview
10/21/18,JW/MK,LaZfV,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,"""(see Table S1 in Supplemental Material Online for song details)"";  ""A standardized instruction was recorded and played to the participants (see Table S3 in Supplemental Material Online).""; ""Supplemental online material is available from http://msx.sagepub.com/content/by/supplemental-data. Music examples are available from the corresponding author on request.""",Supplementary information hosted by the journal,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that no funding was provided,"This research received no specific grant from any funding agency in the public, commercial, or not-for-profit sectors.",Yes - found via Open Access Button,1.14,1.321,Germany,Human,Empirical data - laboratory study
10/21/18,JW/MK,boWcq,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from both public and private organizations,The study was funded by the Danish Research Council for Technology and Production and the Danish Horse Levy Foundation.,No - could not access article other than through paywall,2.517,2.976,Denmark,Animal,Empirical data - clinical trial
10/21/18,JW/MK,GVIdX,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,"First, we asked specific open-ended questions regarding emotions, affective states, and nonemotional attitudes toward school (Table 3).",Appendix within the present article,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.""",NA,Yes - the statement says that there was funding from a public organization(s),"""This research was supported by a grant from the National Middle Schools Forum, UK to the first researcher, in aid of the fight to prevent middle school closures in England.""",Yes - found via Open Access Button,1.828,1.309,United Kingdom,Human,Empirical data - survey/interview
10/29/18,JW/MK,flLVu,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),"This work was supported by the European Research Council under the European Union's Seventh Framework Program (FP7/20072013) / ERC Grant agreement no. 295644 (to AH), and by the Open University of Israel's Research Fund Grant agreement no. 47609 (to SG and NG).",No - could not access article other than through paywall,2.888,3.197,Israel,Human,Empirical data - laboratory study
10/29/18,JW/MK,lvyGE,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),"This work was performed by the University of Oviedo under Contract No. TSI-020110-2009-137 of the research project eInk-PlusPlus. Project co-financed by the Ministry of Industry, Tourism and Commerce under its National Plan for Scientific Research, Development and Technological Innovation.",No - could not access article other than through paywall,3.536,2.88,Spain,Human,Empirical data - laboratory study
10/29/18,JW/MK,qmQOO,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,No - there is no funding statement,None,No - could not access article other than through paywall,1.42,1.42,Italy,Human,Empirical data - laboratory study
10/29/18,JW/MK,JBhWB,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,"Of these eight items (as can be seen from the appendix), three were items of accountability, three were items of evaluation, and two were items of consequence.",Supplementary information hosted by the journal,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),Project supported by the National Natural Science Foundation of China (Grant Nos. 71472082; 71102148).,No - could not access article other than through paywall,2.576,2.576,China,Human,Empirical data - survey/interview
10/29/18,JW/MK,cEjhY,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),"This research was supported by grants from the Chinese Scholarship Council, the Temporal Dynamics of Learning Center (NSF Grant #SBE-0542013), National Institute of Child Health and Human Development (NIH Grant HD-46526) and the Natural Sciences and Engineering Research Council.",No - could not access article other than through paywall,1.678,1.782,Canada,Human,Empirical data - laboratory study
10/29/18,JW/MK,WJXRh,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/29/18,JW/MK,TYtiQ,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),We gratefully acknowledge the support of a National Science Foundation grant (BCS-0819067) to the second author.,Yes - found article via other means,2.432,NA,Argentina,Human,Empirical data - laboratory study
10/29/18,JW/MK,EgIjm,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,No - there is no funding statement,None,Yes - found article via other means,1.662,2,United States of America,Human,Empirical data - survey/interview
10/29/18,JW/MK,AdhVU,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),This study was supported in part by grants from the National Center for Advancing Translational Sciences (UL1TR001111) and the National Institute on Aging (F32AG044904).,Yes - found via Open Access Button,1.84,1.84,United States of America,Human,Empirical data - laboratory study
10/29/18,JW/MK,keQBm,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,None,NA,No - there is no funding statement,None,Yes - found article via other means,15.071,20.771,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/29/18,JW/MK,ldnNm,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",NA,Yes - the statement says that there was funding from a public organization(s),"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Drs Sciberras and Gold were funded by Australian National Health and Medical Research Council (NHMRC) Population Health Capacity Building Grant (436914 and 425855) and an NHMRC Early Career Research Fellowship (1037159 and 1035100) for the duration of this manuscript’s preparation. This research was supported by the Victorian Government’s Operational Infrastructure Support Program to Murdoch Childrens Research Institute (MCRI). The Parenting Research Centre receives funding from the Victorian Government Department of Education and Early Child Development.",Yes - found via Open Access Button,3.668,2.397,Australia,Human,Empirical data - field study
10/29/18,JW/MK,ovyOI,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),"The writing of this article was supported by a grant from the European Research Council, rewarded to the first author.",Yes - found article via other means,NA,NA,Israel,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/29/18,JW/MK,gnJRI,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,None,NA,No - there is no funding statement,None,No - could not access article other than through paywall,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
11/23/18,JW/MK,OplIo,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there are one or more conflicts of interest,"""Robert West has received travel funds and hospitality from, and undertaken research and consultancy for pharmaceutical companies that manufacture or research products aimed at helping smokers to stop. These products include nicotine replacement therapies and Zyban (bupropion). This has led to payments to him personally and to his institution. He undertakes lectures and training in smoking cessation methods which have led to payments to him personally and to his institution. He has received research grants from medical charities and government departments. All other authors declare no conflict of interest.""",Travel or hospitality awards from industry; Other undefined payments from industry; Research funding from government,Yes - the statement says that no funding was provided,"""The authors declare no funding source.""",Yes - found via Open Access Button,2.686,2.795,Malaysia,Human,Empirical data - field study
11/24/18,JW/MK,Qkqto,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK
",Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
11/24/18,JW/MK,PTFHg,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The authors declare no conflict of interest.""",NA,Yes - the statement says that there was funding from a public organization(s),"""This research was partially funded by the USC UCEDD CA-LEND program and the authors express their gratitude.""",No - could not access article other than through paywall,0.667,0.587,United States of America,Human,Empirical data - case study
11/24/18,JW/MK,EPXCI,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors report no conflicts of interest. The authors alone are responsible for the content and writing of the paper.,NA,Yes - the statement says that there was funding from a public organization(s),"Supported by National Institute on Drug Abuse grants P50-DA05605, K02-DA017822, K05-DA031248, and R42-DA022127",Yes - found via Open Access Button,2.231,1.47,United States of America,Human,Empirical data - field study
11/25/18,JW/MK,zOAkJ,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,"""The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.""",NA,Yes - the statement says that there was funding from a public organization(s),"""Preparation of this paper was supported by a research grant (no. ES/I028919/1) to the authors from the Economic and Social research Council of the UK.""",Yes - found via Open Access Button,2.089,2.463,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
11/25/18,JW/MK,bppGq,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.""",NA,Yes - the statement says that no funding was provided,"""The author(s) received no financial support for the research, authorship and/or publication of this article.""",Yes - found article via other means,1.705,1.145,United Kingdom,Human,Data synthesis - meta-analysis
11/25/18,JW/MK,KdjyC,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.""",NA,No - there is no funding statement,None,Yes - found via Open Access Button,3.138,3.138,Austria,Animal,Empirical data - laboratory study
11/25/18,JW/MK,cYVMB,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,No - there is no funding statement,None,No - could not access article other than through paywall,1.967,1.967,South Korea,Human,Empirical data - survey/interview
11/25/18,JW/MK,jDrjI,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement identifies funding sources but the private/public status is unclear,"This research has been financially supported by Capes (Coordenação de aperfeiçoamento de pessoal de nivel superior 307/2015) and SGU (Ministerio de Educación, Cultura y Deporte -Secretaría General de Universidades- PHBP14/00055) which are gratefully acknowledged.",Yes - found article via other means,0.629,0.493,Spain,Human,Empirical data - survey/interview
11/25/18,JW/MK,rSefi,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,No - there is no funding statement,None,Yes - found article via other means,NA,NA,Slovenia,Human,Empirical data - survey/interview
11/25/18,JW/MK,SebgP,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),This work was supported by grants from the Spanish Ministry of Science and Innovation (Ref: PSI-2011-23395) and the Spanish Ministry of Economy and Competitiveness (Ref: EDU-2012-34433) awarded to the authors.,Yes - found via Open Access Button,1.516,1.21,Spain,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
11/25/18,JW/MK,Cvdvh,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,"""The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.""",NA,No - there is no funding statement,None,Yes - found via Open Access Button,3.138,3.27,The Netherlands,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
11/25/18,JK/MK,MqqEU,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.""",NA,Yes - the statement says that there was funding from a public organization(s),"Philipp Sterzer and Timo Stein were supported by the German
Research Foundation (grants STE1430/2-1,STE1430/6-1, and
STE 2239/1-1).",Yes - found via Open Access Button,2.871,3.626,Italy,Human,Empirical data - laboratory study
11/25/18,JK/MK,Zqdnt,There are no issues,0,0,0,1,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),"This research was supported by Grants MH063207, MH016880, DA035804, DA011015, and AG046938 from the National Institutes of Health.",Yes - found via Open Access Button,4.642,4.642,United States of America,Human,Empirical data - laboratory study
11/25/18,JK/MK,YhUjk,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""There are no conflicts of interest to report.""",NA,Yes - the statement says that there was funding from a public organization(s),"""Preparation of this article was supported by Award Number R01DK085185 (Rodrigue, Mandelbrot, Pavlakis) from the National Institute of Diabetes and Digestive and Kidney Diseases.""",Yes - found via Open Access Button,1.893,1.085,United States of America,Human,Empirical data - survey/interview
11/25/18,JK/MK,Hmxcp,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,NA,Yes - the statement says that there was funding from a public organization(s),This research was supported by the Argentine National Council of Scientific and Technological Research (Res. No 4823/13) and the Secretary of Science and Technology of the Buenos Aires University (No. UBACyT P-20020130100434 BA).,No - could not access article other than through paywall,1.519,1.519,Argentina,Human,Empirical data - survey/interview
11/25/18,JK/MK,WvyMq,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.""",NA,Yes - the statement says that there was funding from a public organization(s),"""This study has been funded by the Ministerio de Sanidad, Servicios Sociales e Igualdad [Ministry of Health, Social Services and Equality] of Spain.""",Yes - found via Open Access Button,1.893,0.9,Spain,Human,Empirical data - survey/interview
